"Location","Labor Force","Labor Force","Labor Force","Employment","Employment","Employment","Unemployment","Unemployment","Unemployment","Rate","Rate","Rate"
"","Feb-2023","Jan-2023","Feb-2022","Feb-2023","Jan-2023","Feb-2022","Feb-2023","Jan-2023","Feb-2022","Feb-2023","Jan-2023","Feb-2022"
"Massachusetts","3763398","3759154","3752740","3604461","3606002","3590351","158937","153152","162389","4.2","4.1","4.3"
"Barnstable County","108646","108515","106665","100791","101282","98713","7855","7233","7952","7.2","6.7","7.5"
"Berkshire County","61320","61241","62226","58158","58163","58860","3162","3078","3366","5.2","5.0","5.4"
"Bristol County","300028","299672","301282","282916","283720","283505","17112","15952","17777","5.7","5.3","5.9"
"Dukes County","8403","8358","8563","7631","7662","7759","772","696","804","9.2","8.3","9.4"
"Essex County","424616","424920","422510","406130","407347","403376","18486","17573","19134","4.4","4.1","4.5"
"Franklin County","40085","39904","40200","38528","38398","38547","1557","1506","1653","3.9","3.8","4.1"
"Hampden County","225735","224172","224669","213794","212543","211839","11941","11629","12830","5.3","5.2","5.7"
"Hampshire County","90085","89585","89254","86743","86231","85949","3342","3354","3305","3.7","3.7","3.7"
"Middlesex County","914953","915261","911791","885052","885816","882456","29901","29445","29335","3.3","3.2","3.2"
"Nantucket County","6837","6715","6846","5765","5766","5775","1072","949","1071","15.7","14.1","15.6"
"Norfolk County","395358","395404","393526","381002","381211","379481","14356","14193","14045","3.6","3.6","3.6"
"Plymouth County","285373","285025","285146","272575","272836","271074","12798","12189","14072","4.5","4.3","4.9"
"Suffolk County","455084","455415","453870","438766","439005","436827","16318","16410","17043","3.6","3.6","3.8"
"Worcester County","446151","444964","446191","426016","426020","426191","20135","18944","20000","4.5","4.3","4.5"
