COUNTY,Feb Labor Force,Jan Labor Force,Feb Employment,Jan Employment,Feb Unemployment,Jan Unemployment,Feb Rate,Jan Rate
BARNSTABLE,108646,108515,100791,101282,7855,7233,7.2,6.7
BERKSHIRE,61320,61241,58158,58163,3162,3078,5.2,5.0
BRISTOL,300028,299672,282916,283720,17112,15952,5.7,5.3
DUKES,8403,8358,7631,7662,772,696,9.2,8.3
ESSEX,424616,424920,406130,407347,18486,17573,4.4,4.1
FRANKLIN,40085,39904,38528,38398,1557,1506,3.9,3.8
HAMPDEN,225735,224172,213794,212543,11941,11629,5.3,5.2
HAMPSHIRE,90085,89585,86743,86231,3342,3354,3.7,3.7
MIDDLESEX,914953,915261,885052,885816,29901,29445,3.3,3.2
NANTUCKET,6837,6715,5765,5766,1072,949,15.7,14.1
NORFOLK,395358,395404,381002,381211,14356,14193,3.6,3.6
PLYMOUTH,285373,285025,272575,272836,12798,12189,4.5,4.3
SUFFOLK,455084,455415,438766,439005,16318,16410,3.6,3.6
WORCESTER,446151,444964,426016,426020,20135,18944,4.5,4.3
